Simulation Label ,Ncyt,Nmito,kout,dcyt,kon,koff,kcyt,dmito,kmito,D,Fhydro
S1,4,128,0.000,6.008,0.809,0.479,6.412,8.339,0.770,0.754,0.000
S2,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.359,0.000
S4,16,123,0.098,4.860,0.945,0.234,1.300,0.252,0.620,0.851,0.526
S5,0,95,0.000,2.651,0.000,0.118,4.296,6.355,0.802,0.120,0.446
S6,1,154,0.050,7.079,0.000,0.706,9.341,5.627,0.408,0.431,0.000
S7,0,198,0.050,8.417,0.000,0.833,1.000,7.666,0.687,0.943,0.000
S8,12,124,0.056,1.630,0.441,0.343,5.014,3.176,0.490,0.441,0.000
NM1,0,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000
NM2,0,100,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.000
NM3,0,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000
NM4,0,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.000
NM5,0,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.990
NM6,0,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.990
NM7,0,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.010
NM8,0,100,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.010
NM9,0,100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.010,0.000
NM10,0,100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.990,0.000
NM11,5,100,0.100,1.000,1.000,0.500,1.000,0.000,0.000,0.174,0.000
NM12,0,100,0.100,0.000,0.000,0.000,0.000,0.000,0.000,0.174,0.000
BM1,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,1.000,0.000
BM2,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.400,0.000
BM3,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.200,0.000
BM4,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.800,0.000
BM5,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.600,0.800
BM6,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.600,0.200
BM7,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.600,0.000
BM8,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.600,0.400
BM9,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.000,0.000
BM10,7,198,0.040,4.416,0.309,0.424,1.000,3.151,0.337,0.600,0.600
ST1,5,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.400,0.000
ST2,5,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,1.000,0.000
ST3,0,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST4,15,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST5,5,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.200,0.000
ST6,20,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST7,2,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST8,6,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST9,5,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.800,0.000
ST10,4,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST11,5,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.600,0.000
ST12,5,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.000,0.000
ST13,8,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
ST14,10,100,0.000,0.000,0.000,0.000,1.000,0.000,1.000,0.100,0.000
R1,0,25,0.231,0.390,0.456,0.113,4.074,5.675,0.624,0.351,0.617
R2,1,92,0.585,0.363,0.685,0.040,1.945,5.062,0.417,0.820,0.537
R3,3,191,0.134,0.657,0.081,0.033,3.247,9.966,0.823,0.234,0.309
R4,2,90,0.718,0.637,0.712,0.796,9.271,5.810,0.044,0.318,0.136
R5,3,111,0.050,2.166,0.000,0.216,4.581,3.472,0.884,0.762,0.162
R6,13,159,0.565,0.796,0.985,0.366,4.181,4.870,0.879,0.413,0.642
R7,8,43,0.424,0.904,0.214,0.979,7.358,4.965,0.086,0.599,0.956
R8,3,161,0.526,0.340,0.440,0.735,3.929,0.422,0.423,0.673,0.411
R9,11,169,0.174,0.878,0.174,0.754,4.138,9.521,0.207,0.819,0.248
R10,0,183,0.745,0.313,0.259,0.964,4.211,6.884,0.571,0.177,0.609
R11,13,9,0.200,0.185,0.813,0.007,4.745,7.208,0.703,0.405,0.785
